"Date","Price","Open","High","Low","Vol.","Change %"
"09/12/2024","15,425.0","15,415.0","15,446.5","15,400.0","","0.19%"
"09/11/2024","15,395.0","15,440.0","15,440.0","15,395.0","","-0.32%"
"09/10/2024","15,445.0","15,475.0","15,485.0","15,431.5","","-0.03%"
"09/09/2024","15,450.0","15,475.0","15,485.0","15,416.0","","0.59%"
"09/06/2024","15,360.0","15,390.0","15,398.5","15,352.0","","-0.23%"
"09/05/2024","15,395.0","15,422.5","15,432.5","15,394.0","","-0.48%"
"09/04/2024","15,470.0","15,530.0","15,542.5","15,470.0","","-0.32%"
"09/03/2024","15,520.0","15,547.5","15,583.5","15,522.5","","0.00%"
"09/02/2024","15,520.0","15,497.5","15,555.0","15,492.5","","0.45%"
"08/30/2024","15,450.0","15,450.0","15,490.0","15,437.5","","0.26%"
"08/29/2024","15,410.0","15,420.0","15,447.5","15,367.5","","-0.06%"
"08/28/2024","15,420.0","15,517.5","15,532.5","15,420.0","","-0.45%"
"08/27/2024","15,490.0","15,480.0","15,545.0","15,460.0","","0.42%"
"08/26/2024","15,425.0","15,341.0","15,435.0","15,295.0","","-0.39%"
"08/23/2024","15,485.0","15,635.0","15,662.5","15,425.0","","-0.71%"
"08/22/2024","15,595.0","15,505.0","15,642.5","15,505.0","","0.74%"
"08/21/2024","15,480.0","15,450.0","15,500.0","15,422.0","","0.32%"
"08/20/2024","15,430.0","15,515.0","15,522.5","15,420.0","","-0.74%"
"08/19/2024","15,545.0","15,635.0","15,656.5","15,550.0","","-0.89%"
"08/16/2024","15,685.0","15,755.0","15,759.0","15,675.0","","-0.03%"
"08/15/2024","15,690.0","15,615.0","15,720.0","15,615.0","","0.10%"
"08/14/2024","15,675.0","15,725.0","15,737.5","15,665.0","","-0.98%"
"08/13/2024","15,830.0","15,935.0","15,962.5","15,824.5","","-0.75%"
"08/12/2024","15,950.0","15,940.0","15,985.0","15,925.0","","0.19%"
"08/09/2024","15,920.0","15,937.5","15,945.0","15,884.0","","0.19%"
"08/08/2024","15,890.0","16,005.0","16,012.5","15,894.0","","-0.87%"
"08/07/2024","16,030.0","16,160.0","16,177.5","16,021.5","","-0.80%"
"08/06/2024","16,160.0","16,210.0","16,215.0","16,165.0","","-0.12%"
"08/05/2024","16,180.0","16,180.0","16,197.5","16,122.5","","-0.09%"
"08/02/2024","16,195.0","16,260.0","16,281.5","16,194.5","","-0.22%"
"08/01/2024","16,230.0","16,255.0","16,270.0","16,210.0","","-0.15%"
"07/31/2024","16,255.0","16,305.0","16,323.0","16,259.0","","-0.25%"
"07/30/2024","16,295.0","16,305.0","16,332.5","16,290.0","","0.12%"
"07/29/2024","16,275.0","16,290.0","16,295.0","16,266.5","","-0.06%"
"07/26/2024","16,285.0","16,287.5","16,302.5","16,267.5","","0.25%"
"07/25/2024","16,245.0","16,237.5","16,276.0","16,230.0","","0.22%"
"07/24/2024","16,210.0","16,220.0","16,232.5","16,210.0","","0.03%"
"07/23/2024","16,205.0","16,215.0","16,222.5","16,185.0","","-0.06%"
"07/22/2024","16,215.0","16,210.0","16,237.5","16,205.0","","0.19%"
"07/19/2024","16,185.0","16,195.0","16,225.0","16,175.0","","0.22%"
"07/18/2024","16,150.0","16,135.0","16,170.0","16,125.0","","0.34%"
"07/17/2024","16,095.0","16,155.0","16,165.0","16,096.0","","-0.49%"
"07/16/2024","16,175.0","16,200.0","16,252.5","16,179.5","","0.06%"
"07/15/2024","16,165.0","16,145.0","16,189.0","16,137.5","","0.19%"
"07/12/2024","16,135.0","16,135.0","16,164.5","16,130.0","","-0.34%"
"07/11/2024","16,190.0","16,217.5","16,220.0","16,185.0","","-0.28%"
"07/10/2024","16,235.0","16,287.5","16,300.0","16,238.5","","-0.06%"
"07/09/2024","16,245.0","16,300.0","16,315.0","16,249.5","","-0.03%"
"07/08/2024","16,250.0","16,275.0","16,285.0","16,246.5","","-0.15%"
"07/05/2024","16,275.0","16,332.5","16,345.0","16,270.0","","-0.31%"
"07/04/2024","16,325.0","16,330.0","16,356.5","16,320.0","","-0.24%"
"07/03/2024","16,365.0","16,382.5","16,401.5","16,365.0","","-0.15%"
"07/02/2024","16,390.0","16,355.0","16,402.5","16,347.5","","0.43%"
"07/01/2024","16,320.0","16,352.5","16,412.5","16,315.0","","-0.31%"
"06/28/2024","16,370.0","16,410.0","16,422.5","16,375.0","","-0.15%"
"06/27/2024","16,395.0","16,410.0","16,432.5","16,392.5","","-0.03%"
"06/26/2024","16,400.0","16,420.0","16,450.0","16,400.0","","0.18%"
"06/25/2024","16,370.0","16,382.5","16,465.0","16,360.0","","-0.12%"
"06/24/2024","16,390.0","16,470.0","16,475.0","16,394.0","","-0.33%"
"06/21/2024","16,445.0","16,465.0","16,482.5","16,440.0","","0.12%"
"06/20/2024","16,425.0","16,375.0","16,430.0","16,371.5","","0.40%"
"06/19/2024","16,360.0","16,405.0","16,405.0","16,345.0","","-0.10%"
"06/18/2024","16,376.1","16,486.0","16,486.0","16,360.0","","-0.67%"
"06/17/2024","16,486.0","16,486.5","16,489.7","16,404.9","","0.56%"
